path,label
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6426785061273600.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4625863406518272.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6392281051430912.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5597150618583040.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4521050387775488.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6014399997280256.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5493356631162880.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6229984869875712.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4941328926375936.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5990349308690432.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5845773805682688.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5041971536068608.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6025435970273280.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6474719249301504.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5610287094824960.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5492765079109632.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4613414078906368.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5742434937995264.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4595634386501632.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4769610429628416.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5406161681514496.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6084739544907776.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6578195815989248.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5807326588043264.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6199426601189376.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6539515785117696.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4715354876018688.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6069826667675648.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5102351075508224.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6129775384985600.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5619172060954624.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5631369365422080.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6044324460494848.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6395633105633280.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6396881011736576.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4841600456851456.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6696130714796032.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5474992437329920.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5744852773896192.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6671656112095232.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6453342660198400.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6591470582628352.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4571143010779136.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4856296748613632.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5662411505795072.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/6199446205366272.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/5646780081373184.png,8
/Users/akildickerson/Projects/DoodleClassifier/data/raw/snowman/4874021181063168.png,8
